Toil_free60; Alfa_free60; Toil_free50; Alfa_free50; Toil_free40; Alfa_free40; Toil_free30; Alfa_free30; Toil_free20; Alfa_free20
25.6451; 0.706801; 27.1947; 0.722297; 29.132; 0.74167; 31.2009; 0.762359; 33.8021; 0.788371
25.3661; 0.704011; 26.9258; 0.719607; 28.8835; 0.739185; 30.9829; 0.760179; 33.634; 0.78669
25.0944; 0.701294; 26.6628; 0.716978; 28.6394; 0.736744; 30.7679; 0.758029; 33.4675; 0.785025
24.8297; 0.698647; 26.4057; 0.714406; 28.3997; 0.734347; 30.5559; 0.755909; 33.3026; 0.783376
24.5718; 0.696068; 26.1542; 0.711892; 28.1643; 0.731993; 30.3468; 0.753818; 33.1392; 0.781742
24.3205; 0.693555; 25.9082; 0.709432; 27.9331; 0.729681; 30.1407; 0.751757; 32.9773; 0.780123
24.0756; 0.691106; 25.6677; 0.707027; 27.706; 0.72741; 29.9374; 0.749724; 32.817; 0.77852
23.837; 0.688719; 25.4324; 0.704674; 27.483; 0.72518; 29.737; 0.74772; 32.6582; 0.776931
23.6043; 0.686393; 25.2023; 0.702373; 27.264; 0.72299; 29.5393; 0.745743; 32.5008; 0.775358
23.3775; 0.684125; 24.9771; 0.700121; 27.0488; 0.720838; 29.3444; 0.743794; 32.3449; 0.773799
23.8341; 0.688691; 25.3982; 0.704333; 27.4227; 0.724577; 29.6644; 0.746994; 32.5926; 0.776276
24.7707; 0.698057; 26.303; 0.71338; 28.2849; 0.733199; 30.4781; 0.755131; 33.3409; 0.783759
25.7712; 0.708062; 27.2725; 0.723075; 29.213; 0.74248; 31.3589; 0.763939; 34.1582; 0.791932
26.7671; 0.718021; 28.2379; 0.732729; 30.1378; 0.751728; 32.2374; 0.772724; 34.9745; 0.800095
27.7472; 0.727822; 29.1882; 0.742232; 31.0483; 0.760833; 33.1026; 0.781376; 35.7789; 0.808139
28.71; 0.73745; 30.1218; 0.751568; 31.943; 0.76978; 33.953; 0.78988; 36.5697; 0.816047
29.6557; 0.746907; 31.0388; 0.760738; 32.8219; 0.778568; 34.7885; 0.798234; 37.347; 0.82382
30.5845; 0.756195; 31.9395; 0.769745; 33.6852; 0.787202; 35.6093; 0.806443; 38.111; 0.83146
31.4966; 0.765316; 32.8242; 0.778592; 34.5333; 0.795683; 36.4159; 0.814509; 38.8619; 0.838969
32.3925; 0.774275; 33.6931; 0.787281; 35.3664; 0.804014; 37.2084; 0.822434; 39.6001; 1.31355
33.2723; 0.783073; 34.5466; 0.795816; 36.1849; 0.812199; 37.9871; 0.830221; 40.3256; 1.36038
34.1365; 0.791715; 35.3849; 0.804199; 36.9889; 0.820239; 38.7523; 0.837873; 41.0388; 1.40804
34.9853; 0.800203; 36.2084; 0.812434; 37.7789; 0.828139; 39.5042; 1.30749; 41.74; 1.45653
35.819; 0.80854; 37.0174; 0.820524; 38.555; 0.8359; 40.2431; 1.35498; 42.4293; 1.50582
36.6379; 0.816728; 37.812; 0.82847; 39.3175; 1.29576; 40.9693; 1.40333; 43.107; 1.5559
37.4422; 0.824772; 38.5927; 0.836276; 40.0667; 1.34349; 41.683; 1.45252; 43.7733; 1.60677
38.2324; 0.832674; 39.3596; 1.29839; 40.8029; 1.3921; 42.3844; 1.50256; 44.4285; 1.65841
39.0085; 0.840435; 40.113; 1.34649; 41.5263; 1.44158; 43.0739; 1.55341; 45.0727; 1.7108
39.771; 1.32444; 40.8532; 1.39548; 42.2372; 1.49191; 43.7515; 1.60508; 45.7062; 1.76393
40.5201; 1.37321; 41.5805; 1.44536; 42.9357; 1.54309; 44.4176; 1.65754; 46.3292; 1.8178
41.256; 1.42288; 42.2952; 1.49609; 43.6222; 1.59509; 45.0724; 1.71078; 46.9419; 1.87237
41.979; 1.47343; 42.9974; 1.54768; 44.2969; 1.6479; 45.7162; 1.76478; 47.5445; 1.92764
42.6894; 1.52484; 43.6874; 1.60011; 44.96; 1.70152; 46.349; 1.81954; 48.1371; 1.9836
43.3874; 1.5771; 44.3654; 1.65336; 45.6118; 1.75591; 46.9712; 1.87503; 48.7201; 2.04023
44.0732; 1.6302; 45.0318; 1.70742; 46.2525; 1.81108; 47.583; 1.93123; 49.2936; 2.0975
44.7472; 1.68412; 45.6867; 1.76227; 46.8823; 1.86699; 48.1845; 1.98814; 49.8577; 2.15542
45.4095; 1.73884; 46.3303; 1.81789; 47.5014; 1.92364; 48.776; 2.04574; 50.4127; 2.21396
