move_time_iter: 180
free_time_iter: 180
move_time_iter: 180
free_time_iter: 150
move_time_iter: 180
free_time_iter: 120
move_time_iter: 180
free_time_iter: 90
move_time_iter: 180
free_time_iter: 60
Toil_free60; Alfa_free60; Toil_free50; Alfa_free50; Toil_free40; Alfa_free40; Toil_free30; Alfa_free30; Toil_free20; Alfa_free20
95.2628; 19.3016; 95.2628; 19.3016; 95.2628; 19.3016; 95.2628; 19.3016; 95.2628; 19.3016
95.2644; 19.3031; 95.2644; 19.3031; 95.2644; 19.3031; 95.2644; 19.3031; 95.2644; 19.3031
95.2659; 19.3045; 95.2659; 19.3045; 95.2659; 19.3045; 95.2659; 19.3045; 95.2659; 19.3045
95.2671; 19.3056; 95.2671; 19.3056; 95.2671; 19.3056; 95.2671; 19.3056; 95.2671; 19.3056
95.2682; 19.3067; 95.2682; 19.3067; 95.2682; 19.3067; 95.2682; 19.3067; 95.2682; 19.3067
95.2692; 19.3076; 95.2692; 19.3076; 95.2692; 19.3076; 95.2692; 19.3076; 95.2692; 19.3076
95.2701; 19.3084; 95.2701; 19.3084; 95.2701; 19.3084; 95.2701; 19.3084; 95.2701; 19.3084
95.2709; 19.3091; 95.2709; 19.3091; 95.2709; 19.3091; 95.2709; 19.3091; 95.2709; 19.3091
95.2716; 19.3098; 95.2716; 19.3098; 95.2716; 19.3098; 95.2716; 19.3098; 95.2716; 19.3098
95.2722; 19.3103; 95.2722; 19.3103; 95.2722; 19.3103; 95.2722; 19.3103; 95.2722; 19.3103
95.2727; 19.3108; 95.2727; 19.3108; 95.2727; 19.3108; 95.2727; 19.3108; 95.2727; 19.3108
95.2732; 19.3113; 95.2732; 19.3113; 95.2732; 19.3113; 95.2732; 19.3113; 95.2732; 19.3113
95.2736; 19.3117; 95.2736; 19.3117; 95.2736; 19.3117; 95.2736; 19.3117; 95.2736; 19.3117
95.274; 19.312; 95.274; 19.312; 95.274; 19.312; 95.274; 19.312; 95.274; 19.312
95.2743; 19.3123; 95.2743; 19.3123; 95.2743; 19.3123; 95.2743; 19.3123; 95.2743; 19.3123
95.2746; 19.3126; 95.2746; 19.3126; 95.2746; 19.3126; 95.2746; 19.3126; 95.2746; 19.3126
95.2749; 19.3128; 95.2749; 19.3128; 95.2749; 19.3128; 95.2749; 19.3128; 95.2749; 19.3128
95.2751; 19.3131; 95.2751; 19.3131; 95.2751; 19.3131; 95.2751; 19.3131; 95.2751; 19.3131
95.2753; 19.3132; 95.2753; 19.3132; 95.2753; 19.3132; 95.2753; 19.3132; 95.2753; 19.3132
95.2755; 19.3134; 95.2755; 19.3134; 95.2755; 19.3134; 95.2755; 19.3134; 95.2755; 19.3134
95.2756; 19.3136; 95.2756; 19.3136; 95.2756; 19.3136; 95.2756; 19.3136; 95.2756; 19.3136
95.2758; 19.3137; 95.2758; 19.3137; 95.2758; 19.3137; 95.2758; 19.3137; 95.2758; 19.3137
95.2759; 19.3138; 95.2759; 19.3138; 95.2759; 19.3138; 95.2759; 19.3138; 95.2759; 19.3138
95.276; 19.3139; 95.276; 19.3139; 95.276; 19.3139; 95.276; 19.3139; 95.276; 19.3139
95.2761; 19.314; 95.2761; 19.314; 95.2761; 19.314; 95.2761; 19.314; 95.2761; 19.314
95.2762; 19.3141; 95.2762; 19.3141; 95.2762; 19.3141; 95.2762; 19.3141; 95.2762; 19.3141
95.2763; 19.3142; 95.2763; 19.3142; 95.2763; 19.3142; 95.2763; 19.3142; 95.2763; 19.3142
95.2763; 19.3142; 95.2763; 19.3142; 95.2763; 19.3142; 95.2763; 19.3142; 95.2763; 19.3142
95.2764; 19.3143; 95.2764; 19.3143; 95.2764; 19.3143; 95.2764; 19.3143; 95.2764; 19.3143
95.2764; 19.3143; 95.2764; 19.3143; 95.2764; 19.3143; 95.2764; 19.3143; 95.2764; 19.3143
95.2765; 19.3144; 95.2765; 19.3144; 95.2765; 19.3144; 95.2765; 19.3144; 95.2765; 19.3144
95.2765; 19.3144; 95.2765; 19.3144; 95.2765; 19.3144; 95.2765; 19.3144; 95.2765; 19.3144
95.2766; 19.3144; 95.2766; 19.3144; 95.2766; 19.3144; 95.2766; 19.3144; 95.2766; 19.3144
95.2766; 19.3145; 95.2766; 19.3145; 95.2766; 19.3145; 95.2766; 19.3145; 95.2766; 19.3145
95.2766; 19.3145; 95.2766; 19.3145; 95.2766; 19.3145; 95.2766; 19.3145; 95.2766; 19.3145
95.2767; 19.3145; 95.2767; 19.3145; 95.2767; 19.3145; 95.2767; 19.3145; 95.2767; 19.3145
95.2767; 19.3145; 95.2767; 19.3145; 95.2767; 19.3145; 95.2767; 19.3145; 95.2767; 19.3145
95.2767; 19.3146; 95.2767; 19.3146; 95.2767; 19.3146; 95.2767; 19.3146; 95.2767; 19.3146
95.2767; 19.3146; 95.2767; 19.3146; 95.2767; 19.3146; 95.2767; 19.3146; 95.2767; 19.3146
95.2767; 19.3146; 95.2767; 19.3146; 95.2767; 19.3146; 95.2767; 19.3146; 95.2767; 19.3146
95.2768; 19.3146; 95.2768; 19.3146; 95.2768; 19.3146; 95.2768; 19.3146; 95.2768; 19.3146
95.2768; 19.3146; 95.2768; 19.3146; 95.2768; 19.3146; 95.2768; 19.3146; 95.2768; 19.3146
95.2768; 19.3146; 95.2768; 19.3146; 95.2768; 19.3146; 95.2768; 19.3146; 95.2768; 19.3146
95.2768; 19.3146; 95.2768; 19.3146; 95.2768; 19.3146; 95.2768; 19.3146; 95.2768; 19.3146
95.2768; 19.3146; 95.2768; 19.3146; 95.2768; 19.3146; 95.2768; 19.3146; 95.2768; 19.3146
95.2768; 19.3147; 95.2768; 19.3147; 95.2768; 19.3147; 95.2768; 19.3147; 95.2768; 19.3147
95.2768; 19.3147; 95.2768; 19.3147; 95.2768; 19.3147; 95.2768; 19.3147; 95.2768; 19.3147
95.2768; 19.3147; 95.2768; 19.3147; 95.2768; 19.3147; 95.2768; 19.3147; 95.2768; 19.3147
95.2768; 19.3147; 95.2768; 19.3147; 95.2768; 19.3147; 95.2768; 19.3147; 95.2768; 19.3147
95.2768; 19.3147; 95.2768; 19.3147; 95.2768; 19.3147; 95.2768; 19.3147; 95.2768; 19.3147
95.2768; 19.3147; 95.2768; 19.3147; 95.2768; 19.3147; 95.2768; 19.3147; 95.2768; 19.3147
95.2768; 19.3147; 95.2768; 19.3147; 95.2768; 19.3147; 95.2768; 19.3147; 95.2768; 19.3147
95.2768; 19.3147; 95.2768; 19.3147; 95.2768; 19.3147; 95.2768; 19.3147; 95.2768; 19.3147
95.2768; 19.3147; 95.2768; 19.3147; 95.2768; 19.3147; 95.2768; 19.3147; 95.2768; 19.3147
95.2768; 19.3147; 95.2768; 19.3147; 95.2768; 19.3147; 95.2768; 19.3147; 95.2768; 19.3147
95.2768; 19.3147; 95.2768; 19.3147; 95.2768; 19.3147; 95.2768; 19.3147; 95.2768; 19.3147
95.2768; 19.3147; 95.2768; 19.3147; 95.2768; 19.3147; 95.2768; 19.3147; 95.2768; 19.3147
95.2768; 19.3147; 95.2768; 19.3147; 95.2768; 19.3147; 95.2768; 19.3147; 95.2768; 19.3147
95.2768; 19.3147; 95.2768; 19.3147; 95.2768; 19.3147; 95.2768; 19.3147; 95.2768; 19.3147
95.2769; 19.3147; 95.2769; 19.3147; 95.2769; 19.3147; 95.2769; 19.3147; 95.2769; 19.3147
