Toil_alone; Alfa_alone; Toil_6min; Alfa_6min; Toil_8min; Alfa_8min; Toil_10min; Alfa_10min; Toil_12min; Alfa_12min
40.0258; 2.65849; 43.0388; 1.55078; 38.3129; 0.705219; 35.4272; 0.591662; 32.909; 0.48783
41.0096; 2.78781; 44.5568; 1.66871; 39.6064; 0.718154; 36.5855; 0.603245; 33.9505; 0.498245
41.9825; 2.92188; 46.0177; 1.79066; 40.8508; 0.730598; 37.6995; 0.614385; 34.952; 0.50826
42.9445; 3.06079; 47.424; 1.91647; 42.0481; 1.19048; 38.7712; 0.625102; 35.9151; 0.517891
43.8956; 3.20463; 48.7779; 2.04593; 43.2004; 1.25858; 39.8023; 0.635413; 36.8416; 0.527156
44.8361; 3.3535; 50.0816; 2.17884; 44.3096; 1.32782; 40.7946; 0.645336; 37.7331; 0.536071
45.766; 3.50749; 51.3371; 2.31501; 45.3776; 1.39808; 41.7498; 0.654888; 38.5911; 0.544651
46.6854; 3.66669; 52.5466; 2.45422; 46.406; 1.46926; 42.6696; 0.664086; 39.4172; 0.552912
47.5944; 3.8312; 53.712; 2.59626; 47.3968; 1.54124; 43.5555; 0.672945; 40.2127; 0.560867
48.4932; 4.00111; 54.8351; 2.74093; 48.3514; 1.61394; 44.4089; 1.1564; 40.9791; 0.568531
49.3818; 4.17651; 55.9177; 2.88801; 49.2714; 1.68725; 45.2314; 1.20324; 41.7175; 0.575915
50.2604; 4.35748; 56.9616; 3.03729; 50.1584; 1.76107; 46.0243; 1.2502; 42.4293; 0.583033
51.129; 4.54411; 57.9683; 3.18857; 51.0137; 1.83532; 46.7888; 1.29721; 43.1156; 0.589896
51.9878; 4.73649; 58.9396; 3.34166; 51.8388; 1.90991; 47.5262; 1.34422; 43.7775; 0.596515
52.8369; 4.9347; 59.8769; 3.49635; 52.635; 1.98476; 48.2378; 1.39121; 44.4162; 0.602902
52.9976; 4.97313; 58.6366; 3.29314; 51.6013; 1.88814; 47.3257; 1.33127; 43.6075; 0.594815
52.5468; 4.86607; 56.7679; 3.00903; 50.0315; 1.75032; 45.9334; 1.24472; 42.3672; 0.582413
51.9475; 4.72727; 54.9896; 2.76145; 48.5353; 1.62834; 44.6053; 1.16742; 41.1833; 0.570573
51.3203; 4.58627; 53.3084; 2.54616; 47.1192; 1.52073; 43.3475; 0.670865; 40.0614; 0.559354
50.6962; 4.45015; 51.7178; 2.35795; 45.7781; 1.42538; 42.1556; 0.658945; 38.9976; 0.548716
50.0828; 4.32028; 50.212; 2.1926; 44.5071; 1.34054; 41.0252; 0.647642; 37.9883; 0.538623
49.4816; 4.19668; 48.7853; 2.04666; 43.3018; 1.26476; 39.9527; 0.636917; 37.0302; 0.529042
48.8927; 4.07903; 47.4328; 1.91728; 42.1581; 1.19681; 38.9345; 0.626734; 36.1202; 0.519942
48.3158; 3.96698; 46.1497; 1.80211; 41.0722; 0.732812; 37.9672; 0.617062; 35.2554; 0.511294
47.7507; 3.86021; 44.9318; 1.6992; 40.0406; 0.722496; 37.0479; 0.607869; 34.4331; 0.50307
47.197; 3.75838; 43.7749; 1.60689; 39.0599; 0.712689; 36.1736; 0.599126; 33.6507; 0.495248
46.6545; 3.66122; 42.6753; 1.5238; 38.1272; 0.703362; 35.3417; 0.590807; 32.9061; 0.487801
46.1228; 3.56844; 41.6295; 1.44878; 37.2395; 0.694485; 34.5496; 0.582886; 32.1969; 0.480709
45.6019; 3.4798; 40.6343; 1.38081; 36.3943; 0.686033; 33.7952; 0.575342; 31.5212; 0.473952
45.0913; 3.39507; 39.6866; 1.31906; 35.5889; 0.67798; 33.0761; 0.568151; 30.8769; 0.467509
44.5908; 3.31402; 38.7837; 0.838187; 34.8212; 0.670302; 32.3903; 0.561293; 30.2624; 0.461364
44.1003; 3.23646; 37.9229; 0.829579; 34.0889; 0.662979; 31.736; 0.55475; 29.6759; 0.455499
